,week_demand,CA_pop,la_high,sd_high,f_high,DOW,log_demand
2015-07-06,5731095.0,13845790.0,82.21,73.78,95.83,0,15.561417169910182
2015-07-13,6067423.0,13845790.0,89.36,84.02,99.6,0.0,15.618444525937885
2015-07-20,6233738.0,13845790.0,87.65,80.5,98.03,0.0,15.645486710835604
2015-07-27,6473305.0,13845790.0,86.55,78.3,106.4,0.0,15.683197355218766
2015-08-03,6166221.0,13845790.0,91.7,81.52,95.56,0.0,15.634596728498552
2015-08-10,6411110.0,13845790.0,97.38,86.95,101.94,0.0,15.673542980831868
2015-08-17,6395566.0,13845790.0,91.12,79.62,105.52,0.0,15.671115495724415
2015-08-24,6797238.0,13845790.0,97.51,86.37,103.69,0.0,15.732026911163741
2015-08-31,5881525.0,13845790.0,88.23,80.74,94.39,0.0,15.58732663998994
2015-09-07,6874533.0,13845790.0,98.66,93.64,102.65,0.0,15.74333427193702
2015-09-14,5949644.0,13845790.0,97.75,92.99,99.08,0.0,15.598841943799037
2015-09-21,6400748.0,13845790.0,92.33,86.09,100.7,0.0,15.67192541650055
2015-09-28,5737850.0,13845790.0,88.77,82.09,91.05,0.0,15.56259513366903
2015-10-05,5694168.0,13845790.0,100.23,95.52,95.17,0.0,15.554953051126697
2015-10-12,6042928.0,13845790.0,93.19,91.97,92.59,0.0,15.614399220660768
2015-10-19,5233879.0,13845790.0,89.36,82.31,82.8,0.0,15.47066324373087
2015-10-26,5155597.0,13845790.0,88.35,84.54,82.1,0.0,15.455593478621056
2015-11-02,4884716.0,13845790.0,79.25,75.33,75.65,0.0,15.401621704614435
2015-11-09,4894733.0,13845790.0,79.92,74.54,69.64,0.0,15.403670287004545
2015-11-16,4946743.0,13845790.0,86.55,84.21,72.85,0.0,15.414239938183185
2015-11-23,4810085.0,13845790.0,78.56,76.21,74.99,0.0,15.386225313443475
2015-11-30,5117232.0,13845790.0,78.71,75.91,67.91,0.0,15.448124225825303
2015-12-07,5080986.0,13845790.0,83.48,74.5,63.87,0.0,15.441015895208956
2015-12-14,5266115.0,13845790.0,71.66,67.6,58.84,0.0,15.476803457007309
2015-12-21,4969434.0,13845790.0,65.16,63.14,61.41,0.0,15.418816508287817
2015-12-28,5062487.0,13911737.0,64.73,63.57,60.23,0.0,15.4373684224924
2016-01-04,5093853.0,13911737.0,67.51,62.39,56.95,0.0,15.443545076625767
2016-01-11,4970234.0,13911737.0,69.0,69.39,63.23,0.0,15.418977479459436
2016-01-18,4835845.0,13911737.0,76.29,69.12,61.15,0.0,15.391566438921116
2016-01-25,4883586.0,13911737.0,74.6,70.18,62.99,0.0,15.401390344035075
2016-02-01,4929332.0,13911737.0,83.62,79.61,65.88,0.0,15.410714039880927
2016-02-08,4798591.0,13911737.0,89.05,84.19,75.64,0.0,15.383832891119665
2016-02-15,4776069.0,13911737.0,89.68,88.91,74.8,0.0,15.379128381186396
2016-02-22,4790918.0,13911737.0,82.35,77.34,75.69,0.0,15.382232600294033
