,y,CA_pop,la_high,sd_high,f_high,DOW,ds,f_la,f_fr
2019-04-01,4443025.0,14173349.0,81.71,76.26,78.43,0,2019-04-01,76.02474227339529,77.57605436854377
2019-04-08,4265674.0,14173349.0,87.7,79.19,81.48,0.0,2019-04-08,87.50375072190377,77.84209502432462
2019-04-15,4532490.0,14173349.0,82.61,73.96,89.09,0.0,2019-04-15,87.18077980996266,92.21794330198662
2019-04-22,4810319.0,14173349.0,78.8,69.65,94.58,0.0,2019-04-22,79.46630853808848,96.35805540861028
2019-04-29,4588952.0,14173349.0,73.4,68.89,87.58,0.0,2019-04-29,77.1946334649949,81.93162113390281
2019-05-06,4603148.0,14173349.0,74.58,69.67,89.06,0.0,2019-05-06,71.13811698941365,84.04337393011369
2019-05-13,4679605.0,14173349.0,73.45,70.02,88.69,0.0,2019-05-13,73.46251974370186,87.80589528405945
2019-05-20,4453142.0,14173349.0,71.02,67.79,81.9,0.0,2019-05-20,72.35788545291143,84.31795469777444
2019-05-27,4598442.0,14173349.0,76.65,68.86,90.8,0.0,2019-05-27,81.41044760741063,95.75945537196854
2019-06-03,5202220.0,14173349.0,85.96,73.47,100.79,0.0,2019-06-03,83.72091124127677,101.90866662776811
2019-06-10,5862629.0,14173349.0,96.04,79.89,106.05,0.0,2019-06-10,101.11370320039188,101.08051344723943
2019-06-17,5322602.0,14173349.0,77.37,70.32,101.68,0.0,2019-06-17,77.16146069421863,103.92446566123671
2019-06-24,5259446.0,14173349.0,84.05,79.02,100.22,0.0,2019-06-24,90.58273367137076,107.70714118326438
2019-07-01,5344123.0,14173349.0,82.62,74.18,97.82,0.0,2019-07-01,80.64253717390291,96.68280470456314
2019-07-08,5778142.0,14173349.0,86.57,73.85,102.87,0.0,2019-07-08,92.88190449464162,100.127362646298
2019-07-15,5978611.0,14173349.0,85.92,76.2,102.27,0.0,2019-07-15,87.47278695978504,101.20487123680458
2019-07-22,6718326.0,14173349.0,96.19,82.41,103.91,0.0,2019-07-22,94.22683059039413,107.99590129652522
2019-07-29,6272360.0,14173349.0,89.99,76.57,105.27,0.0,2019-07-29,94.56601679174315,97.4045761137544
2019-08-05,6052131.0,14173349.0,89.24,76.47,102.57,0.0,2019-08-05,96.62916286077439,107.11609364543182
2019-08-12,6268911.0,14173349.0,87.96,76.91,105.94,0.0,2019-08-12,91.29088702647228,96.78626964880465
2019-08-19,6131419.0,14173349.0,89.64,85.59,101.07,0.0,2019-08-19,84.94861247674143,94.11633872406424
2019-08-26,6565680.0,14173349.0,90.28,83.16,104.48,0.0,2019-08-26,90.15383867211234,100.30968639257887
2019-09-02,6508700.0,14173349.0,95.1,84.96,102.54,0.0,2019-09-02,96.15987119512555,101.46803425888666
2019-09-09,5916767.0,14173349.0,96.55,85.78,102.47,0.0,2019-09-09,90.64809405472403,103.94930938230543
2019-09-16,5494212.0,14173349.0,92.13,78.7,94.04,0.0,2019-09-16,88.04526584723911,90.52168376924232
2019-09-23,5639138.0,14173349.0,89.07,80.15,98.36,0.0,2019-09-23,96.26225789104988,99.30481155574591
2019-09-30,4766147.0,14173349.0,89.26,79.41,88.19,0.0,2019-09-30,89.50410179442396,84.14608106641856
2019-10-07,4869590.0,14173349.0,90.0,83.92,92.05,0.0,2019-10-07,89.38485087181347,91.88767641133967
2019-10-14,4761758.0,14173349.0,91.2,78.77,84.77,0.0,2019-10-14,101.56099566705105,82.66639604933772
2019-10-21,5117944.0,14173349.0,97.75,92.17,88.02,0.0,2019-10-21,97.20364337315009,85.21309388381945
2019-10-28,4590759.0,14173349.0,83.24,79.18,76.77,0.0,2019-10-28,83.85074292459005,74.83914639319147
2019-11-04,4776076.0,14173349.0,90.29,83.38,81.36,0.0,2019-11-04,86.23717454949181,82.50867609794943
2019-11-11,4667320.0,14173349.0,91.07,87.39,81.79,0.0,2019-11-11,98.23670076251138,80.1997230667228
2019-11-18,4755369.0,14173349.0,91.6,89.44,77.45,0.0,2019-11-18,97.81495418598293,75.73272944181157
2019-11-25,4754311.0,14173349.0,70.46,67.01,64.89,0.0,2019-11-25,67.47704363537494,63.46908785579659
2019-12-02,4920568.0,14173349.0,69.94,70.57,68.21,0.0,2019-12-02,74.13779368642567,63.99519542679696
2019-12-09,4899113.0,14173349.0,71.16,67.79,66.61,0.0,2019-12-09,69.26535470527583,66.5282240417906
2019-12-16,5034715.0,14173349.0,75.68,71.95,66.44,0.0,2019-12-16,80.15066723888867,61.2983767053365
2019-12-23,4824410.0,14173349.0,63.89,62.03,56.27,0.0,2019-12-23,64.61087166439845,48.772202042636245
2019-12-30,4626959.0,14261874.0,74.75,69.31,65.69,0.0,2019-12-30,76.0485285670847,64.2417770598729
2020-01-06,4736887.0,14261874.0,77.89,75.18,56.35,0.0,2020-01-06,68.41296433637787,49.83326297751779
2020-01-13,4830855.0,14261874.0,74.79,70.92,59.26,0.0,2020-01-13,66.59289015697539,53.39207669129364
2020-01-20,4739495.0,14261874.0,74.89,67.17,64.57,0.0,2020-01-20,75.86932560855621,57.93863986964585
2020-01-27,4698278.0,14261874.0,84.52,78.99,69.46,0.0,2020-01-27,87.72456288428182,68.99175569169945
2020-02-03,4823266.0,14261874.0,69.64,64.26,68.36,0.0,2020-02-03,68.1399737829967,64.98605311550641
2020-02-10,4696333.0,14261874.0,74.06,66.08,72.48,0.0,2020-02-10,72.75865475852072,65.02412654435118
2020-02-17,4564190.0,14261874.0,80.62,71.08,74.68,0.0,2020-02-17,78.41937879630413,74.19345784351185
2020-02-24,4583894.0,14261874.0,87.13,80.79,83.45,0.0,2020-02-24,96.87368668431473,82.93905430839378
2020-03-02,4620607.0,14261874.0,81.8,71.78,82.34,0.0,2020-03-02,74.1768365600315,72.25584392508061
2020-03-09,375866.0,14261874.0,62.68,62.45,64.1,0.0,2020-03-09,63.9332077598668,69.03037905053161
