,time,demand,Los Angeles,San Diego,San Jose,San Francisco,Sacramento,Fresno,CA_pop
0,2020-03-09 14:00:00+00:00,29084,50.35,52.32,46.07,50.84,50.37,47.14,14261874.0
1,2020-03-09 13:00:00+00:00,26088,49.1,51.98,46.51,51.19,50.34,47.62,14261874.0
2,2020-03-09 12:00:00+00:00,24525,49.21,52.82,46.0,51.63,50.41,48.89,14261874.0
3,2020-03-09 11:00:00+00:00,23785,49.88,52.97,46.72,51.79,50.88,50.79,14261874.0
4,2020-03-09 10:00:00+00:00,23759,49.79,53.72,47.47,51.7,51.8,51.45,14261874.0
5,2020-03-09 09:00:00+00:00,24172,53.61,54.55,48.29,52.18,52.78,52.16,14261874.0
6,2020-03-09 08:00:00+00:00,25002,54.54,55.22,49.82,52.37,53.45,52.92,14261874.0
7,2020-03-09 07:00:00+00:00,26101,55.55,56.06,51.4,52.79,54.15,54.12,14261874.0
8,2020-03-09 06:00:00+00:00,27912,55.97,57.3,52.06,52.88,53.79,55.39,14261874.0
9,2020-03-09 05:00:00+00:00,29714,56.49,57.86,52.83,52.97,54.6,56.3,14261874.0
10,2020-03-09 04:00:00+00:00,30688,56.85,59.13,52.9,53.3,55.44,57.94,14261874.0
11,2020-03-09 03:00:00+00:00,30754,57.87,59.71,53.35,54.11,55.73,59.92,14261874.0
12,2020-03-09 02:00:00+00:00,28496,59.81,60.54,54.65,54.87,56.72,62.26,14261874.0
13,2020-03-09 01:00:00+00:00,25786,62.68,62.45,56.38,55.61,57.85,64.1,14261874.0
14,2020-03-09 00:00:00+00:00,24260,64.87,63.58,57.69,55.75,60.01,64.87,14261874.0
15,2020-03-08 23:00:00+00:00,23453,66.01,64.54,59.37,55.46,60.22,66.67,14261874.0
16,2020-03-08 22:00:00+00:00,23025,66.04,63.96,59.18,54.85,60.83,65.25,14261874.0
17,2020-03-08 21:00:00+00:00,22970,65.32,63.73,57.41,55.21,59.04,63.6,14261874.0
18,2020-03-08 20:00:00+00:00,23037,64.2,63.09,56.17,53.86,57.23,60.65,14261874.0
19,2020-03-08 19:00:00+00:00,23114,62.97,62.66,55.03,52.16,56.02,58.11,14261874.0
20,2020-03-08 18:00:00+00:00,23582,61.08,60.96,54.27,49.88,54.07,54.7,14261874.0
21,2020-03-08 17:00:00+00:00,24175,58.37,59.29,51.63,48.49,51.43,50.94,14261874.0
22,2020-03-08 16:00:00+00:00,24572,56.69,58.09,49.33,47.46,48.87,48.55,14261874.0
23,2020-03-08 15:00:00+00:00,24751,51.91,56.25,47.73,47.21,47.09,45.92,14261874.0
24,2020-03-08 14:00:00+00:00,24675,51.94,55.81,47.75,47.65,47.7,43.9,14261874.0
25,2020-03-08 13:00:00+00:00,23957,53.65,56.17,47.16,46.97,47.35,43.42,14261874.0
26,2020-03-08 12:00:00+00:00,23690,53.41,56.46,47.43,47.3,47.24,44.41,14261874.0
27,2020-03-08 11:00:00+00:00,23654,53.78,56.27,47.97,47.85,47.11,46.38,14261874.0
28,2020-03-08 10:00:00+00:00,24077,54.47,56.61,48.12,48.63,46.67,47.16,14261874.0
29,2020-03-08 09:00:00+00:00,24828,54.92,57.9,48.75,48.8,47.19,48.48,14261874.0
