,Los Angeles,San Diego,San Jose,San Francisco,Sacramento,Fresno,time
0,55.55,56.06,51.4,52.79,54.15,54.12,2020-03-09 07:00:00+00:00
1,54.54,55.22,49.82,52.37,53.45,52.92,2020-03-09 08:00:00+00:00
2,53.61,54.55,48.29,52.18,52.78,52.16,2020-03-09 09:00:00+00:00
3,49.79,53.72,47.47,51.7,51.8,51.45,2020-03-09 10:00:00+00:00
4,49.88,52.97,46.72,51.79,50.88,50.79,2020-03-09 11:00:00+00:00
5,49.21,52.82,46.0,51.63,50.41,48.89,2020-03-09 12:00:00+00:00
6,49.1,51.98,46.51,51.19,50.34,47.62,2020-03-09 13:00:00+00:00
7,50.35,52.32,46.07,50.84,50.37,47.14,2020-03-09 14:00:00+00:00
8,52.68,53.46,46.49,50.59,50.18,47.26,2020-03-09 15:00:00+00:00
9,56.96,56.92,50.2,52.43,53.53,50.16,2020-03-09 16:00:00+00:00
10,60.96,60.99,54.32,54.7,57.95,55.42,2020-03-09 17:00:00+00:00
11,64.11,64.5,57.57,55.74,60.69,59.58,2020-03-09 18:00:00+00:00
12,66.38,66.36,60.09,57.37,62.77,62.59,2020-03-09 19:00:00+00:00
13,68.31,66.79,62.86,59.81,65.07,65.24,2020-03-09 20:00:00+00:00
14,70.11,66.39,64.74,61.95,67.3,67.65,2020-03-09 21:00:00+00:00
15,71.37,65.62,65.77,63.34,68.95,69.22,2020-03-09 22:00:00+00:00
16,72.22,65.14,65.42,64.19,69.89,70.12,2020-03-09 23:00:00+00:00
17,71.78,64.27,64.42,63.93,69.47,69.8,2020-03-10 00:00:00+00:00
18,69.53,63.07,62.84,62.53,67.38,68.37,2020-03-10 01:00:00+00:00
19,65.69,61.75,60.86,60.47,63.6,65.83,2020-03-10 02:00:00+00:00
20,63.46,60.91,58.71,60.24,60.34,63.38,2020-03-10 03:00:00+00:00
21,61.67,60.09,57.12,58.39,57.96,61.35,2020-03-10 04:00:00+00:00
22,61.06,59.57,55.59,57.25,56.24,58.92,2020-03-10 05:00:00+00:00
23,60.88,58.05,53.28,56.27,54.09,57.36,2020-03-10 06:00:00+00:00
24,55.29,58.27,48.55,49.0,48.67,49.35,2020-03-08 08:00:00+00:00
25,54.92,57.9,48.75,48.8,47.19,48.48,2020-03-08 09:00:00+00:00
26,54.47,56.61,48.12,48.63,46.67,47.16,2020-03-08 10:00:00+00:00
27,53.78,56.27,47.97,47.85,47.11,46.38,2020-03-08 11:00:00+00:00
28,53.41,56.46,47.43,47.3,47.24,44.41,2020-03-08 12:00:00+00:00
29,53.65,56.17,47.16,46.97,47.35,43.42,2020-03-08 13:00:00+00:00
30,51.94,55.81,47.75,47.65,47.7,43.9,2020-03-08 14:00:00+00:00
31,51.91,56.25,47.73,47.21,47.09,45.92,2020-03-08 15:00:00+00:00
32,56.69,58.09,49.33,47.46,48.87,48.55,2020-03-08 16:00:00+00:00
33,58.37,59.29,51.63,48.49,51.43,50.94,2020-03-08 17:00:00+00:00
34,61.08,60.96,54.27,49.88,54.07,54.7,2020-03-08 18:00:00+00:00
35,62.97,62.66,55.03,52.16,56.02,58.11,2020-03-08 19:00:00+00:00
36,64.2,63.09,56.17,53.86,57.23,60.65,2020-03-08 20:00:00+00:00
37,65.32,63.73,57.41,55.21,59.04,63.6,2020-03-08 21:00:00+00:00
38,66.04,63.96,59.18,54.85,60.83,65.25,2020-03-08 22:00:00+00:00
39,66.01,64.54,59.37,55.46,60.22,66.67,2020-03-08 23:00:00+00:00
40,64.87,63.58,57.69,55.75,60.01,64.87,2020-03-09 00:00:00+00:00
41,62.68,62.45,56.38,55.61,57.85,64.1,2020-03-09 01:00:00+00:00
42,59.81,60.54,54.65,54.87,56.72,62.26,2020-03-09 02:00:00+00:00
43,57.87,59.71,53.35,54.11,55.73,59.92,2020-03-09 03:00:00+00:00
44,56.85,59.13,52.9,53.3,55.44,57.94,2020-03-09 04:00:00+00:00
45,56.49,57.86,52.83,52.97,54.6,56.3,2020-03-09 05:00:00+00:00
46,55.97,57.3,52.06,52.88,53.79,55.39,2020-03-09 06:00:00+00:00
47,56.3,57.84,51.1,50.51,51.92,55.11,2020-03-07 08:00:00+00:00
48,56.4,57.7,50.22,50.66,51.59,53.98,2020-03-07 09:00:00+00:00
49,56.18,57.79,50.64,50.91,51.15,52.65,2020-03-07 10:00:00+00:00
50,55.91,57.98,50.46,50.57,50.58,51.23,2020-03-07 11:00:00+00:00
51,55.63,58.01,50.17,50.1,50.36,49.95,2020-03-07 12:00:00+00:00
52,54.87,57.64,49.8,50.04,50.39,48.61,2020-03-07 13:00:00+00:00
53,54.42,57.63,49.3,50.27,50.42,47.85,2020-03-07 14:00:00+00:00
54,54.27,58.04,49.58,50.33,50.53,50.75,2020-03-07 15:00:00+00:00
55,57.64,58.66,49.99,50.15,51.53,52.1,2020-03-07 16:00:00+00:00
56,58.54,60.14,50.58,49.73,53.16,54.25,2020-03-07 17:00:00+00:00
57,59.81,61.28,52.8,50.11,51.01,57.89,2020-03-07 18:00:00+00:00
58,61.8,62.4,54.38,49.75,51.9,58.01,2020-03-07 19:00:00+00:00
59,63.42,63.22,54.01,49.5,55.08,57.43,2020-03-07 20:00:00+00:00
60,62.99,63.56,54.52,50.33,54.11,57.7,2020-03-07 21:00:00+00:00
61,62.67,64.88,54.25,50.93,54.62,59.07,2020-03-07 22:00:00+00:00
62,61.56,63.85,51.18,53.29,56.66,61.6,2020-03-07 23:00:00+00:00
63,61.09,61.51,52.54,54.5,56.21,62.23,2020-03-08 00:00:00+00:00
64,60.24,60.58,52.05,53.37,55.83,61.65,2020-03-08 01:00:00+00:00
65,58.61,59.93,50.99,52.16,54.54,59.79,2020-03-08 02:00:00+00:00
66,57.49,59.5,50.69,50.6,52.8,57.07,2020-03-08 03:00:00+00:00
67,56.54,58.98,50.6,49.71,51.69,55.12,2020-03-08 04:00:00+00:00
68,56.26,58.85,50.3,49.52,50.1,53.49,2020-03-08 05:00:00+00:00
69,56.02,58.7,49.85,49.44,49.73,51.67,2020-03-08 06:00:00+00:00
70,55.63,58.77,49.52,49.47,49.3,50.55,2020-03-08 07:00:00+00:00
71,59.48,56.7,52.65,52.45,52.31,56.27,2020-03-06 08:00:00+00:00
72,58.13,56.59,51.97,52.51,51.74,53.92,2020-03-06 09:00:00+00:00
73,57.04,57.0,51.74,52.54,51.4,52.43,2020-03-06 10:00:00+00:00
